BARSTOW-DAGGETT, United States 
34.85, -116.8

Day [#],     Time [h],       Ta [K],     Pa [kPa],    Ib [W/m2],    Ig [W/m2]
97,8,21,951,797,382
97,9,23.7,951,895,594
97,10,26.3,951,931,769
97,11,28.5,951,941,887
97,12,30.3,951,945,943
97,13,31.6,951,947,933
97,14,32.3,951,944,857
97,15,32.6,951,928,719
97,16,32.1,951,883,531
97,17,30.9,951,754,312
97,18,29.2,951,444,104
97,19,27.3,951,0,0
97,20,26,951,0,0
97,21,24.6,951,0,0
97,22,23.2,951,0,0
97,23,21.9,951,0,0
97,0,20.5,951,0,0
98,1,19.4,951,0,0
98,2,18.2,951,0,0
98,3,17.5,951,0,0
98,4,16.9,950,0,0
98,5,16.4,950,0,0
98,6,16.5,950,0,4
98,7,18.4,950,324,159
98,8,20.8,950,711,368
98,9,23.2,950,796,569
98,10,25.5,950,822,734
98,11,27.5,950,840,852
98,12,29.1,950,849,908
98,13,30.3,950,871,905
98,14,31,950,877,832
98,15,31.2,950,868,699
98,16,30.8,950,841,520
98,17,29.7,950,736,309
98,18,28.1,950,444,105
98,19,26.3,950,0,0
98,20,24.8,950,0,0
98,21,23.3,950,0,0
98,22,21.7,950,0,0
98,23,20.2,950,0,0
98,0,18.7,950,0,0
99,1,17.5,950,0,0
99,2,16.3,950,0,0
99,3,15.6,950,0,0
99,4,15,950,0,0
99,5,14.5,950,0,0
99,6,14.5,950,0,5
99,7,16.5,950,341,165
99,8,18.8,950,712,372
99,9,21.2,950,783,570
99,10,23.4,950,795,731
99,11,25.3,950,777,836
99,12,26.9,950,800,896
99,13,27.9,950,783,879
99,14,28.6,950,788,807
99,15,28.7,950,796,680
99,16,28.3,950,793,510
99,17,27.1,950,707,305
99,18,25.5,950,438,105
99,19,23.8,950,0,0
99,20,22.7,950,0,0
99,21,21.7,950,0,0
99,22,20.7,950,0,0
99,23,19.7,950,0,0
99,0,18.6,950,0,0
100,1,18.2,950,0,0
100,2,17.7,950,0,0
100,3,17.4,950,0,0
100,4,17.2,950,0,0
100,5,17,950,0,0
100,6,17.1,950,0,5
100,7,19.3,950,347,169
100,8,22,950,727,379
100,9,24.7,950,810,581
100,10,27.2,950,840,748
100,11,29.4,950,836,858
100,12,31.1,951,824,906
100,13,32.4,951,830,897
100,14,33.1,951,840,825
100,15,33.3,951,835,694
100,16,32.9,951,808,516
100,17,31.7,951,709,308
100,18,30,951,462,105
100,19,28.2,951,0,0
100,20,27,951,0,0
100,21,25.8,951,0,0
100,22,24.6,951,0,0
100,23,23.4,951,0,0
100,0,22.2,951,0,0
101,1,21.2,951,0,0
101,2,20.2,951,0,0
101,3,19.6,951,0,0
101,4,19.1,951,0,0
101,5,18.7,951,0,0
101,6,18.8,951,0,6
101,7,21,951,360,175
101,8,23.5,951,733,384
101,9,26,951,787,579
101,10,28.3,951,813,743
101,11,30.4,951,827,858
101,12,32,951,827,910
101,13,33.2,951,825,898
101,14,33.9,951,838,827
101,15,34.1,951,848,700
101,16,33.7,951,826,523
101,17,32.6,951,726,313
101,18,31,951,483,109
101,19,29.2,951,0,0
101,20,27.3,951,0,0
101,21,25.5,951,0,0
101,22,23.6,951,0,0
101,23,21.7,951,0,0
101,0,19.8,950,0,0
102,1,18.2,950,0,0
102,2,16.4,950,0,0
102,3,15.5,950,0,0
102,4,14.5,950,0,0
102,5,13.8,950,0,0
102,6,13.9,950,0,7
102,7,16,950,408,190
102,8,18.5,950,840,413
102,9,20.9,950,916,624
102,10,23.2,950,939,792
102,11,25.1,950,946,908
102,12,26.7,950,950,962
102,13,27.8,950,955,952
102,14,28.4,950,948,873
102,15,28.5,950,933,734
102,16,28,950,902,550
102,17,26.8,950,777,331
102,18,25.1,950,532,117
102,19,23.2,950,0,0
102,20,21.7,950,0,0
102,21,20.2,950,0,0
102,22,18.7,950,0,0
102,23,17.2,950,0,0
102,0,15.6,950,0,0
103,1,14.8,950,0,0
103,2,14,950,0,0
103,3,13.5,950,0,0
103,4,13,950,0,0
103,5,12.7,950,0,0
103,6,12.9,950,0,8
103,7,15.1,950,374,183
103,8,17.7,950,733,392
103,9,20.2,950,783,586
103,10,22.6,949,791,744
103,11,24.6,949,780,851
103,12,26.2,949,767,898
103,13,27.3,949,764,885
103,14,28,949,775,813
103,15,28.2,949,779,685
103,16,27.7,949,763,511
103,17,26.6,949,676,309
103,18,24.9,949,462,110
103,19,23.1,949,0,0
103,20,21.7,949,0,0
103,21,20.3,949,0,0
103,22,18.9,949,0,0
103,23,17.5,949,0,0
103,0,16.1,949,0,0
104,1,15,949,0,0
104,2,13.8,949,0,0
104,3,13.2,949,0,0
104,4,12.6,949,0,0
104,5,12.1,949,0,0
104,6,12.3,949,0,9
104,7,14.6,949,384,188
104,8,17.1,949,770,404
104,9,19.7,949,833,603
104,10,22,949,861,769
104,11,24.1,950,853,877
104,12,25.7,950,858,930
104,13,26.8,950,879,925
104,14,27.5,950,887,852
104,15,27.7,949,884,719
104,16,27.3,949,838,533
104,17,26.1,949,730,321
104,18,24.4,949,489,115
104,19,22.6,949,0,1
104,20,20.9,949,0,0
104,21,19.2,949,0,0
104,22,17.6,949,0,0
104,23,15.9,949,0,0
104,0,14.2,949,0,0
105,1,12.9,949,0,0
105,2,11.5,949,0,0
105,3,10.8,949,0,0
105,4,10,949,0,0
105,5,9.5,949,0,0
105,6,9.6,949,0,10
105,7,11.9,949,404,195
105,8,14.5,949,807,416
105,9,17,949,876,620
105,10,19.3,949,896,785
105,11,21.3,949,915,903
105,12,23,949,938,965
105,13,24.1,949,945,955
105,14,24.8,949,949,881
105,15,25,949,941,745
105,16,24.5,949,902,557
105,17,23.3,949,806,341
105,18,21.6,949,570,126
105,19,19.7,949,0,1
105,20,18.3,949,0,0
105,21,16.9,949,0,0
105,22,15.5,949,0,0
105,23,14.1,949,0,0
105,0,12.7,949,0,0
106,1,11.9,949,0,0
106,2,11,949,0,0
106,3,10.5,948,0,0
106,4,10,948,0,0
106,5,9.7,948,0,0
106,6,9.9,948,0,10
106,7,12.1,948,325,184
106,8,14.6,948,667,390
106,9,17.1,948,693,573
106,10,19.2,948,655,715
106,11,21.1,948,633,805
106,12,22.6,948,664,875
106,13,23.7,948,685,869
106,14,24.4,948,668,789
106,15,24.5,948,680,664
106,16,24,948,609,487
106,17,22.9,948,539,296
106,18,21.3,948,328,107
106,19,19.5,948,0,0
106,20,18.4,948,0,0
106,21,17.2,948,0,0
106,22,16.1,948,0,0
106,23,14.9,948,0,0
106,0,13.8,948,0,0
107,1,13,949,0,0
107,2,12.3,949,0,0
107,3,11.8,949,0,0
107,4,11.4,949,0,0
107,5,11.1,949,0,0
107,6,11.4,949,0,12
107,7,13.9,949,398,199
107,8,16.6,949,751,411
107,9,19.2,949,812,609
107,10,21.7,949,826,769
107,11,23.8,949,821,876
107,12,25.4,949,807,921
107,13,26.6,949,810,909
107,14,27.3,949,797,829
107,15,27.5,949,794,698
107,16,27,949,766,521
107,17,25.8,949,658,315
107,18,24.1,949,449,115
107,19,22.3,949,0,1
107,20,20.5,949,0,0
107,21,18.7,949,0,0
107,22,16.9,949,0,0
107,23,15.1,949,0,0
107,0,13.3,949,0,0
108,1,11.8,949,0,0
108,2,10.1,949,0,0
108,3,9.1,949,0,0
108,4,8.2,949,0,0
108,5,7.6,949,0,0
108,6,7.8,949,0,13
108,7,10,949,419,206
108,8,12.5,949,789,423
108,9,14.9,949,865,628
108,10,17.1,949,879,789
108,11,19,949,863,893
108,12,20.4,949,855,940
108,13,21.4,949,845,922
108,14,21.9,949,835,843
108,15,22,948,834,712
108,16,21.5,948,801,532
108,17,20.3,948,691,322
108,18,18.6,948,469,119
108,19,16.8,948,0,1
108,20,15.3,948,0,0
108,21,13.7,948,0,0
108,22,12.2,948,0,0
108,23,10.7,948,0,0
108,0,9.1,948,0,0
109,1,8.3,948,0,0
109,2,7.4,948,0,0
109,3,6.9,948,0,0
109,4,6.4,948,0,0
109,5,6.1,947,0,0
109,6,6.3,947,0,12
109,7,8.6,947,352,186
109,8,10.9,947,547,376
109,9,13.4,947,645,568
109,10,15.6,947,646,722
109,11,17.5,947,619,809
109,12,19,947,645,853
109,13,20,947,620,846
109,14,20.6,947,619,767
109,15,20.8,947,631,659
109,16,20.4,947,673,502
109,17,19.3,947,558,306
109,18,17.7,947,325,112
109,19,16,948,0,1
109,20,14.6,948,0,0
109,21,13.3,948,0,0
109,22,11.9,948,0,0
109,23,10.6,948,0,0
109,0,9.2,948,0,0
110,1,8.3,948,0,0
110,2,7.2,948,0,0
110,3,6.6,948,0,0
110,4,6.1,949,0,0
110,5,5.7,949,0,0
110,6,6,949,0,16
110,7,8.7,949,452,226
110,8,11.5,949,877,456
110,9,14.3,949,946,670
110,10,16.9,949,975,843
110,11,19,949,984,958
110,12,20.7,949,987,1008
110,13,21.9,950,982,990
110,14,22.6,949,974,909
110,15,22.8,949,958,767
110,16,22.2,949,915,574
110,17,20.9,949,806,351
110,18,19.1,949,554,132
110,19,17,949,0,1
110,20,15.6,949,0,0
110,21,14.2,948,0,0
110,22,12.9,948,0,0
110,23,11.5,948,0,0
110,0,10.1,948,0,0
111,1,9.2,948,0,0
111,2,8.2,948,0,0
111,3,7.7,948,0,0
111,4,7.2,948,0,0
111,5,6.8,947,0,0
111,6,7.1,947,0,14
111,7,9.2,947,289,180
111,8,11.5,947,464,364
111,9,13.7,947,539,544
111,10,15.9,947,604,700
111,11,17.7,947,574,795
111,12,19,947,577,824
111,13,20.1,946,562,824
111,14,20.6,946,572,750
111,15,20.7,946,565,634
111,16,20.2,947,470,457
111,17,19.1,947,415,276
111,18,17.6,947,243,101
111,19,15.9,947,0,1
111,20,14.9,947,0,0
111,21,13.8,947,0,0
111,22,12.7,947,0,0
111,23,11.7,947,0,0
111,0,10.6,947,0,0
112,1,10,947,0,0
112,2,9.3,947,0,0
112,3,8.9,947,0,0
112,4,8.5,947,0,0
112,5,8.3,947,0,0
112,6,8.6,947,0,16
112,7,11.1,948,341,207
112,8,13.8,948,660,409
112,9,16.3,948,702,596
112,10,18.6,948,682,742
112,11,20.6,948,673,845
112,12,22.2,948,672,893
112,13,23.3,948,679,881
112,14,23.9,948,680,805
112,15,24.1,948,662,671
112,16,23.6,948,695,514
112,17,22.5,948,615,318
112,18,20.8,948,371,119
112,19,18.9,948,0,1
112,20,17.8,948,0,0
112,21,16.6,948,0,0
112,22,15.5,948,0,0
112,23,14.4,948,0,0
112,0,13.2,948,0,0
113,1,12.5,948,0,0
113,2,11.7,948,0,0
113,3,11.2,948,0,0
113,4,10.8,948,0,0
113,5,10.5,948,0,0
113,6,10.9,948,0,17
113,7,13.4,948,397,206
113,8,16,948,635,409
113,9,18.6,948,708,601
113,10,20.9,948,701,751
113,11,22.9,948,681,850
113,12,24.5,948,671,895
113,13,25.6,948,690,886
113,14,26.3,948,701,814
113,15,26.5,948,698,683
113,16,26,948,720,522
113,17,24.9,948,654,326
113,18,23.3,948,452,126
113,19,21.5,948,0,2
113,20,19.7,948,0,0
113,21,18,948,0,0
113,22,16.3,948,0,0
113,23,14.6,948,0,0
113,0,12.9,948,0,0
114,1,11.5,948,0,0
114,2,9.9,948,0,0
114,3,9.1,948,0,0
114,4,8.2,948,0,0
114,5,7.6,948,0,0
114,6,8,948,0,20
114,7,10.4,948,417,225
114,8,12.9,948,764,438
114,9,15.3,948,819,634
114,10,17.5,948,836,793
114,11,19.4,948,830,898
114,12,20.8,948,820,942
114,13,21.8,948,822,928
114,14,22.4,948,821,851
114,15,22.4,948,797,713
114,16,21.9,948,745,533
114,17,20.6,948,630,324
114,18,18.9,948,384,124
114,19,17,949,0,1
114,20,15.8,949,0,0
114,21,14.5,949,0,0
114,22,13.3,949,0,0
114,23,12.1,949,0,0
114,0,10.8,949,0,0
115,1,10.3,949,0,0
115,2,9.8,949,0,0
115,3,9.5,949,0,0
115,4,9.2,949,0,0
115,5,9,949,0,0
115,6,9.5,949,0,22
115,7,12.3,949,419,229
115,8,15.2,949,773,443
115,9,18,949,840,643
115,10,20.5,949,839,797
115,11,22.6,949,833,901
115,12,24.4,949,839,951
115,13,25.6,949,833,934
115,14,26.3,949,839,859
115,15,26.4,949,840,728
115,16,26,949,813,549
115,17,24.7,949,735,344
115,18,23,949,532,138
115,19,21,949,0,2
115,20,19.5,949,0,0
115,21,18.1,949,0,0
115,22,16.7,949,0,0
115,23,15.2,949,0,0
115,0,13.8,949,0,0
116,1,12.7,949,0,0
116,2,11.4,949,0,0
116,3,10.7,949,0,0
116,4,10,949,0,0
116,5,9.5,949,0,0
116,6,10,950,0,24
116,7,12.7,950,452,241
116,8,15.5,950,839,463
116,9,18.1,950,907,670
116,10,20.6,950,928,833
116,11,22.6,950,933,943
116,12,24.2,950,935,991
116,13,25.3,950,940,978
116,14,26,950,931,897
116,15,26.1,949,911,755
116,16,25.5,949,880,572
116,17,24.2,949,776,355
116,18,22.4,949,541,141
116,19,20.4,949,0,2
116,20,19.1,949,0,0
116,21,17.9,948,0,0
116,22,16.6,948,0,0
116,23,15.3,948,0,0
116,0,14.1,948,0,0
117,1,13.5,948,0,0
117,2,12.9,948,0,0
117,3,12.5,947,0,0
117,4,12.2,947,0,0
117,5,12,947,0,0
117,6,12.4,947,0,18
117,7,14.6,947,223,182
117,8,16.8,947,326,350
117,9,18.9,946,346,504
117,10,20.8,946,375,630
117,11,22.4,946,366,713
117,12,23.7,946,364,737
117,13,24.5,946,345,714
117,14,25,946,320,652
117,15,25.1,946,311,556
117,16,24.6,946,252,404
117,17,23.6,946,148,242
117,18,22.3,946,96,93
117,19,20.8,946,0,1
117,20,19.4,946,0,0
117,21,18,946,0,0
117,22,16.6,947,0,0
117,23,15.2,947,0,0
117,0,13.8,947,0,0
118,1,12.6,947,0,0
118,2,11.3,947,0,0
118,3,10.6,947,0,0
118,4,10,947,0,0
118,5,9.5,947,0,0
118,6,10,947,0,25
118,7,12.5,947,430,227
118,8,15,947,686,432
118,9,17.4,947,692,611
118,10,19.5,948,675,756
118,11,21.3,948,630,845
118,12,22.6,948,607,883
118,13,23.6,948,620,873
118,14,24.1,948,629,800
118,15,24.2,948,630,676
118,16,23.7,948,613,506
118,17,22.6,948,537,313
118,18,21,948,334,120
118,19,19.2,948,0,1
118,20,17.5,948,0,0
118,21,15.7,948,0,0
118,22,14,948,0,0
118,23,12.3,948,0,0
118,0,10.6,948,0,0
119,1,9.3,947,0,0
119,2,8,947,0,0
119,3,7.2,947,0,0
119,4,6.5,947,0,0
119,5,5.9,947,0,0
119,6,6.4,947,0,25
119,7,8.7,947,371,218
119,8,11,947,606,416
119,9,13.2,947,652,607
119,10,15.3,947,700,766
119,11,17.1,947,690,867
119,12,18.5,947,706,918
119,13,19.4,947,688,897
119,14,19.9,947,702,825
119,15,20,947,692,692
119,16,19.5,946,669,520
119,17,18.3,946,560,325
119,18,16.7,946,269,131
119,19,14.9,946,0,2
119,20,13.6,945,0,0
119,21,12.4,945,0,0
119,22,11.1,945,0,0
119,23,9.9,945,0,0
119,0,8.6,944,0,0
120,1,8.1,944,0,0
120,2,7.5,944,0,0
120,3,7.2,944,0,0
120,4,6.9,943,0,0
120,5,6.7,943,0,0
120,6,6.8,943,0,10
120,7,7.8,943,0,84
120,8,7.9,942,0,88
120,9,11.3,942,304,510
120,10,12.8,942,115,470
120,11,13.8,942,43,455
120,12,13.6,941,6,264
120,13,13.7,941,4,294
120,14,14.1,942,51,393
120,15,15,942,460,638
120,16,15.3,942,465,476
120,17,14.9,943,258,262
120,18,14.3,943,382,167
120,19,13.1,943,0,16
120,20,12.8,944,0,0
120,21,12.5,944,0,0
120,22,12.2,945,0,0
120,23,11.8,945,0,0
120,0,11.5,945,0,0
121,1,11.6,946,0,0
121,2,11.7,946,0,0
121,3,11.7,946,0,0
121,4,11.7,947,0,0
121,5,11.7,947,0,0
121,6,12.6,948,0,32
121,7,15.5,948,460,256
121,8,18.5,948,835,477
121,9,21.3,949,889,677
121,10,23.8,949,914,840
121,11,26,949,921,948
121,12,27.7,950,927,997
121,13,29,950,929,982
121,14,29.7,950,922,902
121,15,29.9,950,921,769
121,16,29.4,950,885,583
121,17,28.2,950,790,368
121,18,26.4,950,344,153
121,19,24.4,950,0,3
121,20,23.4,950,0,0
121,21,22.5,950,0,0
121,22,21.5,950,0,0
121,23,20.6,950,0,0
121,0,19.6,950,0,0
122,1,18.8,950,0,0
122,2,17.9,950,0,0
122,3,17.5,950,0,0
122,4,17,950,0,0
122,5,16.6,950,0,0
122,6,17.3,950,0,29
122,7,19.7,950,398,231
122,8,22.1,950,652,433
122,9,24.4,950,675,617
122,10,26.5,950,685,768
122,11,28.3,950,701,876
122,12,29.7,950,703,922
122,13,30.7,950,738,917
122,14,31.3,950,776,851
122,15,31.5,949,804,729
122,16,31.1,949,801,559
122,17,30.1,949,721,355
122,18,28.5,949,328,150
122,19,26.7,949,0,5
122,20,25.6,949,0,0
122,21,24.4,949,0,0
122,22,23.3,949,0,0
122,23,22.2,949,0,0
122,0,21.1,949,0,0
123,1,20.3,949,0,0
123,2,19.4,949,0,0
123,3,19,949,0,0
123,4,18.7,949,0,0
123,5,18.6,948,0,0
123,6,19.3,948,179,52
123,7,21.2,948,456,226
123,8,23.3,948,450,400
123,9,25.6,948,514,573
123,10,27.2,948,304,614
123,11,28.5,948,223,636
123,12,29.7,948,307,709
123,13,30.9,948,497,800
123,14,31.6,948,387,701
123,15,32,948,520,644
123,16,32,948,562,510
123,17,31.6,948,755,384
123,18,30.5,948,375,166
123,19,29,949,0,8
123,20,27.2,949,0,0
123,21,25.4,949,0,0
123,22,23.6,949,0,0
123,23,21.8,949,0,0
123,0,19.9,949,0,0
124,1,18.4,949,0,0
124,2,16.7,949,0,0
124,3,15.9,949,0,0
124,4,15.2,950,0,0
124,5,15.1,950,0,0
124,6,16,950,381,76
124,7,18,950,719,273
124,8,20.4,950,864,494
124,9,22.9,950,909,692
124,10,25.2,950,933,856
124,11,27.2,950,942,965
124,12,28.9,950,941,1010
124,13,30.1,951,945,995
124,14,30.8,951,948,920
124,15,31.1,951,944,786
124,16,30.9,951,921,605
124,17,29.9,951,842,391
124,18,28.3,951,381,171
124,19,26.5,951,0,6
124,20,25,951,0,0
124,21,23.6,951,0,0
124,22,22.1,951,0,0
124,23,20.7,951,0,0
124,0,19.2,951,0,0
125,1,18.5,951,0,0
125,2,17.7,951,0,0
125,3,17.3,951,0,0
125,4,17,951,0,0
125,5,17,951,0,0
125,6,18,951,381,78
125,7,20.1,951,716,275
125,8,22.7,951,867,497
125,9,25.4,951,921,700
125,10,27.9,951,936,860
125,11,30.1,951,943,967
125,12,31.9,951,939,1010
125,13,33.2,951,939,994
125,14,34,951,931,912
125,15,34.4,951,922,776
125,16,34.1,951,892,593
125,17,33.1,951,801,378
125,18,31.5,951,362,163
125,19,29.6,951,0,4
125,20,28.1,951,0,0
125,21,26.5,951,0,0
125,22,25,951,0,0
125,23,23.5,951,0,0
125,0,22,951,0,0
126,1,20.8,951,0,0
126,2,19.6,951,0,0
126,3,19,951,0,0
126,4,18.6,951,0,0
126,5,18.6,951,0,0
126,6,19.6,951,367,78
126,7,21.6,951,667,267
126,8,24,951,778,475
126,9,26.4,951,791,658
126,10,28.7,951,801,810
126,11,30.7,951,807,915
126,12,32.3,951,811,962
126,13,33.6,950,811,945
126,14,34.3,950,793,862
126,15,34.6,950,774,727
126,16,34.3,951,759,555
126,17,33.4,951,686,356
126,18,31.9,951,314,153
126,19,30.2,951,0,3
126,20,28.1,951,0,0
126,21,26,951,0,0
126,22,24,951,0,0
126,23,21.9,951,0,0
126,0,19.8,951,0,0
127,1,18,951,0,0
127,2,16.1,951,0,0
127,3,15.1,951,0,0
127,4,14.4,951,0,0
127,5,14.3,951,0,0
127,6,15.3,951,397,84
127,7,17.3,951,725,282
127,8,19.7,951,876,506
127,9,22.1,951,932,710
127,10,24.5,951,954,874
127,11,26.5,951,960,980
127,12,28.1,951,958,1024
127,13,29.3,951,956,1006
127,14,30,951,944,923
127,15,30.3,950,939,788
127,16,30,950,899,600
127,17,29,950,808,384
127,18,27.4,950,369,167
127,19,25.6,950,0,5
127,20,23.8,950,0,0
127,21,21.9,950,0,0
127,22,20.1,949,0,0
127,23,18.3,949,0,0
127,0,16.5,949,0,0
128,1,15.4,949,0,0
128,2,14.2,949,0,0
128,3,13.6,949,0,0
128,4,13.2,949,0,0
128,5,13.2,948,0,0
128,6,13.9,948,157,58
128,7,15.3,948,132,186
128,8,17.1,948,173,348
128,9,18.9,948,251,493
128,10,20.8,948,344,644
128,11,22.6,948,444,754
128,12,24.1,947,487,817
128,13,25.5,947,608,896
128,14,26.5,947,722,849
128,15,27,947,700,709
128,16,27,948,698,543
128,17,26.3,948,603,342
128,18,25.1,948,274,147
128,19,23.6,948,0,4
128,20,21.9,948,0,0
128,21,20.2,948,0,0
128,22,18.5,948,0,0
128,23,16.8,948,0,0
128,0,15.1,948,0,0
129,1,13.7,948,0,0
129,2,12.1,948,0,0
129,3,11.3,948,0,0
129,4,10.7,948,0,0
129,5,10.6,948,0,0
129,6,11.6,948,365,82
129,7,13.4,948,620,266
129,8,15.7,949,750,474
129,9,18,949,800,667
129,10,20.2,949,828,824
129,11,22.1,949,809,920
129,12,23.7,949,815,967
129,13,24.8,949,842,959
129,14,25.6,949,881,896
129,15,25.8,949,887,768
129,16,25.6,949,876,594
129,17,24.7,949,805,387
129,18,23.3,949,388,176
129,19,21.5,949,0,8
129,20,19.8,949,0,0
129,21,18.2,949,0,0
129,22,16.5,949,0,0
129,23,14.8,949,0,0
129,0,13.2,949,0,0
130,1,12.2,949,0,0
130,2,11.1,949,0,0
130,3,10.5,949,0,0
130,4,10.1,948,0,0
130,5,10,948,0,0
130,6,10.9,948,347,81
130,7,12.7,948,568,260
130,8,14.8,948,688,462
130,9,16.9,948,671,633
130,10,18.9,948,647,771
130,11,20.6,948,629,866
130,12,22,948,662,922
130,13,23.1,948,658,903
130,14,23.7,948,681,835
130,15,23.9,948,698,712
130,16,23.7,949,704,548
130,17,22.8,949,643,355
130,18,21.4,949,306,156
130,19,19.7,949,0,6
130,20,18.5,949,0,0
130,21,17.3,949,0,0
130,22,16.1,949,0,0
130,23,14.9,949,0,0
130,0,13.7,949,0,0
131,1,13.3,949,0,0
131,2,12.9,950,0,0
131,3,12.7,950,0,0
131,4,12.5,950,0,0
131,5,12.5,950,0,0
131,6,13.8,950,438,91
131,7,16.1,950,721,289
131,8,18.8,950,860,508
131,9,21.6,950,911,708
131,10,24.2,950,934,869
131,11,26.4,950,940,975
131,12,28.3,950,937,1019
131,13,29.7,951,929,997
131,14,30.5,950,922,917
131,15,30.9,950,908,780
131,16,30.7,950,878,599
131,17,29.7,950,777,383
131,18,28.1,950,366,171
131,19,26.1,950,0,6
131,20,24.2,950,0,0
131,21,22.3,950,0,0
131,22,20.3,950,0,0
131,23,18.4,950,0,0
131,0,16.5,950,0,0
132,1,14.7,950,0,0
132,2,12.7,950,0,0
132,3,11.5,950,0,0
132,4,10.7,950,0,0
132,5,10.4,949,0,0
132,6,11.2,949,428,91
132,7,12.7,949,697,285
132,8,14.4,949,818,498
132,9,16.2,949,862,691
132,10,17.9,949,868,843
132,11,19.4,949,873,947
132,12,20.5,949,867,990
132,13,21.3,949,861,970
132,14,21.7,949,871,897
132,15,21.7,949,869,766
132,16,21.4,949,846,589
132,17,20.4,949,767,383
132,18,19,949,374,174
132,19,17.4,949,0,7
132,20,16.1,949,0,0
132,21,14.9,949,0,0
132,22,13.6,948,0,0
132,23,12.4,948,0,0
132,0,11.1,948,0,0
133,1,11.5,948,0,0
133,2,12,948,0,0
133,3,12.2,948,0,0
133,4,12.3,948,0,0
133,5,12.3,948,0,0
133,6,13.7,948,357,87
133,7,15.8,948,500,254
133,8,18.1,948,509,428
133,9,20.7,948,624,628
133,10,23,948,528,726
133,11,24.9,948,528,803
133,12,26.6,948,559,871
133,13,27.8,948,523,828
133,14,28.5,948,480,738
133,15,28.7,948,448,631
133,16,28.4,948,391,467
133,17,27.5,948,336,294
133,18,26.1,948,215,129
133,19,24.5,947,0,3
133,20,23,947,0,0
133,21,21.6,947,0,0
133,22,20.2,947,0,0
133,23,18.7,947,0,0
133,0,17.3,947,0,0
134,1,15.8,947,0,0
134,2,14.1,947,0,0
134,3,13.2,947,0,0
134,4,12.6,947,0,0
134,5,12.5,947,0,0
134,6,13.3,947,236,76
134,7,14.9,947,357,231
134,8,16.7,947,410,403
134,9,18.6,947,470,574
134,10,20.5,947,534,717
134,11,22.1,947,549,819
134,12,23.6,947,596,894
134,13,24.3,947,372,762
134,14,24.7,947,381,712
134,15,24.9,947,512,650
134,16,24.6,947,456,491
134,17,23.7,947,342,300
134,18,22.5,947,232,148
134,19,20.9,947,0,7
134,20,20.2,948,0,0
134,21,19.5,948,0,0
134,22,18.7,948,0,0
134,23,18,948,0,0
134,0,17.3,948,0,0
135,1,17.4,948,0,0
135,2,17.6,948,0,0
135,3,17.7,948,0,0
135,4,17.8,948,0,0
135,5,17.8,948,0,0
135,6,19.1,948,311,83
135,7,21.1,948,420,244
135,8,23.4,948,427,416
135,9,25.8,949,494,585
135,10,28,949,524,714
135,11,30.1,949,559,826
135,12,31.8,949,599,883
135,13,33.1,949,581,855
135,14,33.9,949,521,778
135,15,34.4,949,630,697
135,16,34.3,949,579,520
135,17,33.4,949,420,321
135,18,32,949,237,141
135,19,30.4,949,0,8
135,20,28.6,949,0,0
135,21,26.8,950,0,0
135,22,25.1,950,0,0
135,23,23.3,950,0,0
135,0,21.5,950,0,0
136,1,19.6,950,0,0
136,2,17.6,950,0,0
136,3,16.6,950,0,0
136,4,15.8,950,0,0
136,5,15.7,950,0,0
136,6,16.8,950,417,95
136,7,18.9,950,713,297
136,8,21.3,950,860,518
136,9,23.6,950,892,708
136,10,25.9,951,936,878
136,11,27.9,951,931,976
136,12,29.5,951,951,1033
136,13,30.7,951,956,1017
136,14,31.4,951,939,932
136,15,31.7,951,910,817
136,16,31.4,951,907,620
136,17,30.4,951,805,406
136,18,28.9,951,401,186
136,19,27,951,0,10
136,20,25.3,951,0,0
136,21,23.6,951,0,0
136,22,21.9,951,0,0
136,23,20.2,951,0,0
136,0,18.6,951,0,0
137,1,17.7,951,0,0
137,2,16.8,951,0,0
137,3,16.3,951,0,0
137,4,16,951,0,0
137,5,15.9,951,0,0
137,6,17.3,951,449,100
137,7,19.5,951,715,298
137,8,22.1,951,845,514
137,9,24.8,951,897,712
137,10,27.2,951,911,867
137,11,29.4,951,917,971
137,12,31.1,951,909,1013
137,13,32.4,951,913,996
137,14,33.2,951,903,915
137,15,33.5,951,890,781
137,16,33.3,951,860,602
137,17,32.3,951,761,390
137,18,30.7,951,374,181
137,19,28.8,951,0,9
137,20,26.9,951,0,0
137,21,25,951,0,0
137,22,23.1,951,0,0
137,23,21.2,951,0,0
137,0,19.3,951,0,0
138,1,17.7,951,0,0
138,2,16.1,951,0,0
138,3,15.2,951,0,0
138,4,14.5,951,0,0
138,5,14.4,951,0,0
138,6,15.7,951,457,103
138,7,17.7,951,720,301
138,8,20.2,951,840,514
138,9,22.6,951,880,706
138,10,24.8,951,895,861
138,11,26.8,951,887,959
138,12,28.4,951,888,1005
138,13,29.5,951,897,991
138,14,30.2,951,902,916
138,15,30.5,951,900,786
138,16,30.2,951,883,612
138,17,29.2,951,810,404
138,18,27.7,951,405,190
138,19,25.8,951,0,10
138,20,24.4,951,0,0
138,21,23.1,951,0,0
138,22,21.8,951,0,0
138,23,20.4,951,0,0
138,0,19.1,951,0,0
139,1,18.6,951,0,0
139,2,18,951,0,0
139,3,17.7,951,0,0
139,4,17.5,951,0,0
139,5,17.4,951,0,0
139,6,18.7,951,453,103
139,7,21,951,694,298
