Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/25  01:00:00,-7.593333333333334,19.875592674604474,1069.241698532381,0.04999489999999999,54.999999999999918,46.813333419980938,1696.0040192539016,46.885052352541169,55.0,0.04999489999999999,6105614.469314045 
 01/25  02:00:00,-9.493333333333334,19.51887810912429,1079.8585788298374,0.04999489999999999,54.999999999999918,46.73155932425769,1700.6466764337433,46.86282976164469,55.0,0.04999489999999999,6122328.035161477 
 01/25  03:00:00,-9.293333333333333,19.289950897415659,1087.6016846557209,0.04999489999999999,54.999999999999918,46.675127585265759,1710.1513536935943,46.81733443867722,55.0,0.04999489999999999,6156544.873296943 
 01/25  04:00:00,-9.093333333333332,19.20992725331565,1090.397218470072,0.04999489999999999,54.999999999999918,46.654940810844319,1718.640414110084,46.77670033072473,55.0,0.04999489999999999,6187105.4907963019 
 01/25  05:00:00,-8.84,19.163606214218427,1091.7687196493494,0.04999489999999999,54.999999999999918,46.64393940316462,1724.5564251766652,46.74838239945794,55.0,0.04999489999999999,6208403.1306359949 
 01/25  06:00:00,-8.593333333333334,19.169130773104138,1091.716757526565,0.04999489999999999,54.999999999999918,46.64442067273423,1728.3072435596773,46.730428468946339,55.0,0.04999489999999999,6221906.076814838 
 01/25  07:00:00,-8.34,19.232689142489585,1089.9612322504822,0.04999489999999999,54.999999999999918,46.65825448712312,1729.6513645754596,46.723994597477048,55.0,0.04999489999999999,6226744.912471655 
 01/25  08:00:00,-7.986666666666666,19.290445310718068,1088.1455293791328,0.04999489999999999,54.999999999999918,46.67231369004892,1728.906984301376,46.72755770516783,55.0,0.04999489999999999,6224065.143484954 
 01/25  09:00:00,-7.586666666666667,19.335642986710455,1086.744145405955,0.04999489999999999,54.999999999999918,46.682637888421648,1727.4461661323176,46.73455016606105,55.0,0.04999489999999999,6218806.198076344 
 01/25  10:00:00,-7.1866666666666669,19.430796585542788,1083.9398648569406,0.04999489999999999,54.999999999999918,46.70380326356183,1725.209532402151,46.74525619393833,55.0,0.04999489999999999,6210754.316647745 
 01/25  11:00:00,-6.786666666666665,19.59022390448026,1079.1201635261775,0.04999489999999999,54.999999999999918,46.74007288543221,1721.1961127298275,46.76446708192533,55.0,0.04999489999999999,6196306.005827379 
 01/25  12:00:00,-6.386666666666667,19.777863962032485,1073.2629032316984,0.04999489999999999,54.999999999999918,46.78387215762005,1715.0701062108506,46.793790143795408,55.0,0.04999489999999999,6174252.382359061 
 01/25  13:00:00,-5.986666666666666,19.933533666786976,1068.2852093823444,0.04999489999999999,54.999999999999918,46.82098853028149,1707.8340353968622,46.82842659318543,55.0,0.04999489999999999,6148202.527428703 
 01/25  14:00:00,-5.799999999999998,20.015595392521843,1065.51718705126,0.04999489999999999,54.999999999999918,46.84156637476043,1701.1475201096944,46.86043241935673,55.0,0.04999489999999999,6124131.072394899 
 01/25  15:00:00,-5.799999999999998,19.999721459275844,1065.792521203176,0.04999489999999999,54.999999999999918,46.83923110160654,1696.727880144342,46.88158751595003,55.0,0.04999489999999999,6108220.36851963 
 01/25  16:00:00,-5.8533333333333339,19.925111193536038,1068.052894549881,0.04999489999999999,54.999999999999918,46.822399886659287,1695.3703836350837,46.888085314894997,55.0,0.04999489999999999,6103333.381086303 
 01/25  17:00:00,-5.900000000000001,19.849743948584835,1070.4860617009872,0.04999489999999999,54.999999999999918,46.80424606640612,1696.4181881722432,46.88306988962197,55.0,0.04999489999999999,6107105.477420076 
 01/25  18:00:00,-5.900000000000001,19.826972191174418,1071.3469176380595,0.04999489999999999,54.999999999999918,46.79815596680898,1698.1024118268979,46.87500817358055,55.0,0.04999489999999999,6113168.682576831 
 01/25  19:00:00,-5.900000000000001,19.834314786139374,1071.1485952951607,0.04999489999999999,54.999999999999918,46.799877247017537,1699.1033195368013,46.870217219313399,55.0,0.04999489999999999,6116771.950332485 
 01/25  20:00:00,-5.846666666666666,19.838201811972774,1071.0075135529141,0.04999489999999999,54.999999999999918,46.80040920048399,1699.5968658185407,46.86785480516708,55.0,0.04999489999999999,6118548.716946747 
 01/25  21:00:00,-5.746666666666667,19.863357449754088,1070.2499916225363,0.04999489999999999,54.999999999999918,46.80623174002374,1699.5041534549164,46.86829858323968,55.0,0.04999489999999999,6118214.952437699 
 01/25  22:00:00,-5.6466666666666669,19.887852400971224,1069.4917099416755,0.04999489999999999,54.999999999999918,46.8119431875277,1698.9050597154153,46.87116621182543,55.0,0.04999489999999999,6116058.214975495 
 01/25  23:00:00,-5.493333333333333,19.9167059062337,1068.62121225422,0.04999489999999999,54.999999999999918,46.8185394347143,1698.0075363928604,46.875462305223248,55.0,0.04999489999999999,6112827.131014298 
 01/25  24:00:00,-5.346666666666667,19.9512817453961,1067.5643999326799,0.04999489999999999,54.999999999999918,46.826616575031469,1696.7998574604856,46.88124298952948,55.0,0.04999489999999999,6108479.486857747 
 01/26  01:00:00,-5.246666666666667,19.981232755969797,1066.622044072568,0.04999489999999999,54.999999999999918,46.83365740097536,1695.4238383590766,46.88782944821108,55.0,0.04999489999999999,6103525.818092676 
 01/26  02:00:00,-5.573333333333335,19.985254095936296,1066.3633758782632,0.04999489999999999,54.999999999999918,46.83554430712412,1694.170289981915,46.89382968451682,55.0,0.04999489999999999,6099013.043934893 
 01/26  03:00:00,-6.273333333333332,19.911952423369045,1068.4021907466072,0.04999489999999999,54.999999999999918,46.819541957912488,1694.2114846524678,46.89363250206967,55.0,0.04999489999999999,6099161.3447488839 
 01/26  04:00:00,-7.026666666666667,19.806561424735955,1071.658879096772,0.04999489999999999,54.999999999999918,46.794949664549758,1696.338939411267,46.88344922160866,55.0,0.04999489999999999,6106820.181880558 
 01/26  05:00:00,-7.773333333333331,19.688436110274773,1075.31124014662,0.04999489999999999,54.999999999999918,46.767914865377168,1699.8475684001132,46.866654787571167,55.0,0.04999489999999999,6119451.246240406 
 01/26  06:00:00,-8.473333333333331,19.55068635195605,1079.585961205459,0.04999489999999999,54.999999999999918,46.735883625992318,1704.6503974078184,46.843665480849107,55.0,0.04999489999999999,6136741.430668145 
 01/26  07:00:00,-9.173333333333334,19.408839180448206,1083.9569792345962,0.04999489999999999,54.999999999999918,46.70286406260685,1710.3607868008232,46.81633196404903,55.0,0.04999489999999999,6157298.832482964 
 01/26  08:00:00,-9.553333333333335,19.27788034765268,1088.094067588385,0.04999489999999999,54.999999999999918,46.67182292198651,1716.5684867484379,46.78661792547407,55.0,0.04999489999999999,6179646.552294375 
 01/26  09:00:00,-9.599999999999998,19.200203619306764,1090.694035213992,0.04999489999999999,54.999999999999918,46.652616465719969,1722.3546133392965,46.75892173289775,55.0,0.04999489999999999,6200476.608021467 
 01/26  10:00:00,-9.653333333333333,19.208436706651168,1090.6672205695884,0.04999489999999999,54.999999999999918,46.65318613433157,1726.3526227381928,46.73978459879444,55.0,0.04999489999999999,6214869.441857495 
 01/26  11:00:00,-9.753333333333334,19.287273124707597,1088.3422758692402,0.04999489999999999,54.999999999999918,46.67072282118524,1727.5575055376162,46.734017220969,55.0,0.04999489999999999,6219207.019935417 
 01/26  12:00:00,-9.853333333333334,19.381650966721887,1085.3515771570753,0.04999489999999999,54.999999999999918,46.69314025142491,1726.1648785964212,46.74068326828566,55.0,0.04999489999999999,6214193.562947117 
 01/26  13:00:00,-9.953333333333335,19.43888065497849,1083.5814055713392,0.04999489999999999,54.999999999999918,46.705973587596179,1723.8171597222588,46.75192101779707,55.0,0.04999489999999999,6205741.775000132 
 01/26  14:00:00,-10.16,19.854685836465757,1041.3293915843904,0.04814613026041666,54.999999999999918,46.71660644973575,1656.1686603826276,46.77150946786268,55.0,0.04814613026041666,5962207.177377459 
 01/26  15:00:00,-10.46,20.023495874076919,937.4641798372564,0.04236546994791667,54.999999999999918,46.51360611922698,1465.9931051128397,46.72265986415685,55.0,0.04236546994791667,5277575.178406223 
 01/26  16:00:00,-10.76,19.883182991258335,1055.3694940744629,0.049220239440104156,54.999999999999918,46.78437615510045,1701.38976283012,46.730575209972588,55.0,0.049220239440104156,6125003.146188432 
 01/26  17:00:00,-11.273333333333334,19.27942922776516,1086.8823515871434,0.04999489999999999,54.999999999999918,46.67895942591327,1721.1572965237062,46.76465288322747,55.0,0.04999489999999999,6196166.267485343 
 01/26  18:00:00,-11.919999999999999,18.860573334392148,1100.5015860177857,0.04999489999999999,54.999999999999918,46.57785791788428,1728.728641349904,46.72841136459952,55.0,0.04999489999999999,6223423.108859654 
 01/26  19:00:00,-12.573333333333335,18.590586808406113,1109.1267415103907,0.04999489999999999,54.999999999999918,46.513456223588608,1740.2634799771724,46.67319768531639,55.0,0.04999489999999999,6264948.527917821 
 01/26  20:00:00,-13.273333333333334,18.379208414328614,1115.850803680395,0.04999489999999999,54.999999999999918,46.46381433349768,1751.7827399948142,46.61805828846044,55.0,0.04999489999999999,6306417.863981332 
 01/26  21:00:00,-13.973333333333335,18.167068950116478,1122.4048895221563,0.04999489999999999,54.999999999999918,46.41419368664232,1762.766096174558,46.56548383787582,55.0,0.04999489999999999,6345957.946228408 
 01/26  22:00:00,-14.673333333333336,17.979694600875314,1128.2244273212482,0.04999489999999999,54.999999999999918,46.37012331683396,1773.2016114676876,46.51553151384075,55.0,0.04999489999999999,6383525.801283676 
 01/26  23:00:00,-15.32,17.81267376868924,1133.4025765880308,0.04999489999999999,54.999999999999918,46.33091238302979,1782.8180406789288,46.46949974835177,55.0,0.04999489999999999,6418144.946444144 
 01/26  24:00:00,-15.973333333333335,17.656664307837486,1138.2071092652689,0.04999489999999999,54.999999999999918,46.29444822802829,1791.6277751794494,46.427329277610819,55.0,0.04999489999999999,6449859.990646019 
 01/27  01:00:00,-16.673333333333337,17.50257234770203,1142.917888180416,0.04999489999999999,54.999999999999918,46.25852641851733,1799.8612399067235,46.387917142904068,55.0,0.04999489999999999,6479500.463664204 
 01/27  02:00:00,-17.0,17.36878290114192,1147.0807219409608,0.04999489999999999,54.999999999999918,46.22646148031739,1807.6632902249646,46.35056997546413,55.0,0.04999489999999999,6507587.844809869 
 01/27  03:00:00,-17.0,17.32001640759279,1148.8419044498303,0.04999489999999999,54.999999999999918,46.21368432828429,1814.037718232518,46.32005651050546,55.0,0.04999489999999999,6530535.785637065 
 01/27  04:00:00,-17.0,17.340876314779089,1148.355563179985,0.04999489999999999,54.999999999999918,46.21779259874323,1817.788720281249,46.302100964942848,55.0,0.04999489999999999,6544039.393012496 
 01/27  05:00:00,-16.94666666666667,17.33728093208816,1148.2885836318862,0.04999489999999999,54.999999999999918,46.21817689882276,1819.414719922727,46.294317511868218,55.0,0.04999489999999999,6549892.991721818 
 01/27  06:00:00,-16.793333333333334,17.322213792264319,1148.6311569118984,0.04999489999999999,54.999999999999918,46.214023663244208,1820.736027927662,46.28799257434618,55.0,0.04999489999999999,6554649.700539582 
 01/27  07:00:00,-16.646666666666666,17.34517881971182,1147.9856580122525,0.04999489999999999,54.999999999999918,46.21879852284928,1821.394672831092,46.28483972153358,55.0,0.04999489999999999,6557020.822191933 
 01/27  08:00:00,-16.173333333333337,17.40662562387753,1146.2699490613923,0.04999489999999999,54.999999999999918,46.23229797564582,1820.846191834307,46.28746523317572,55.0,0.04999489999999999,6555046.290603506 
 01/27  09:00:00,-15.373333333333335,17.560909467865124,1141.9837782560003,0.04999489999999999,54.999999999999918,46.26616109439037,1818.3727093165096,46.29930548347185,55.0,0.04999489999999999,6546141.7535394369 
 01/27  10:00:00,-14.57333333333333,17.923207822670375,1131.482448178992,0.04999489999999999,54.999999999999918,46.34662934863776,1811.6326440121347,46.331569257583257,55.0,0.04999489999999999,6521877.518443683 
 01/27  11:00:00,-13.613333333333335,18.498966394631688,1114.104872024416,0.04999489999999999,54.999999999999918,46.47909440647465,1797.4288094817048,46.39956074698669,55.0,0.04999489999999999,6470743.714134138 
 01/27  12:00:00,-12.566666666666667,19.076468772554369,1095.8431294760128,0.04999489999999999,54.999999999999918,46.61485399628787,1776.635285773198,46.49909524266074,55.0,0.04999489999999999,6395887.028783512 
 01/27  13:00:00,-11.513333333333332,19.534578926089904,1081.2664473183365,0.04999489999999999,54.999999999999918,46.72364310177958,1753.7161430369829,46.60880357809398,55.0,0.04999489999999999,6313378.114933139 
 01/27  14:00:00,-10.84,19.799219789699305,1072.3657738544846,0.04999489999999999,54.999999999999918,46.79025896435385,1732.7050683791738,46.70937746036578,55.0,0.04999489999999999,6237738.246165025 
 01/27  15:00:00,-10.593333333333332,19.695963167158799,1074.7029654495045,0.04999489999999999,54.999999999999918,46.77125853783871,1719.3049684857735,46.77351933741707,55.0,0.04999489999999999,6189497.886548786 
 01/27  16:00:00,-10.34,19.403731391155597,1083.6466792912224,0.04999489999999999,54.999999999999918,46.70424125228349,1716.7116643114507,46.785932587734709,55.0,0.04999489999999999,6180161.991521223 
 01/27  17:00:00,-9.986666666666669,19.130206800127664,1092.297478312104,0.04999489999999999,54.999999999999918,46.63883424604175,1721.8383706168597,46.761392809423679,55.0,0.04999489999999999,6198618.134220696 
