Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Air Temperature [C](TimeStep),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/01  00:02:00,,23.02692656903006 
 01/01  00:04:00,,22.1850573882527 
 01/01  00:06:00,,21.516463521556504 
 01/01  00:08:00,,21.006198628282897 
 01/01  00:10:00,,20.590390933426396 
 01/01  00:12:00,,20.239607487414199 
 01/01  00:14:00,,19.93796741918841 
 01/01  00:16:00,,19.67459398293632 
 01/01  00:18:00,,19.439726370197364 
 01/01  00:20:00,,19.227680866384547 
 01/01  00:22:00,,19.034276762323679 
 01/01  00:24:00,,19.247400084993286 
 01/01  00:26:00,,19.283893204889858 
 01/01  00:28:00,,19.13662713241658 
 01/01  00:30:00,,19.30468387996387 
 01/01  00:32:00,,19.28155677934686 
 01/01  00:34:00,,19.088206571897496 
 01/01  00:36:00,,19.226552603466897 
 01/01  00:38:00,,19.183352350266774 
 01/01  00:40:00,,19.361938795101638 
 01/01  00:42:00,,19.29281703166212 
 01/01  00:44:00,,19.043940771923677 
 01/01  00:46:00,,19.13893437032408 
 01/01  00:48:00,,19.06541795883838 
 01/01  00:50:00,,19.22513376682286 
 01/01  00:52:00,,19.143260541509436 
 01/01  00:54:00,,19.27188059057616 
 01/01  00:56:00,,19.162061846623833 
 01/01  00:58:00,,19.272252206479295 
 01/01  01:00:00,3.1300000000000005,19.15132495954992,257.93682842823116,0.007999184000000002,68.2805248760238,64.90215336051011,533.3333333333334,58.07683252809706,62.326039719136037,0.007999184000000002,1920000.0000000003 
 01/01  01:02:00,,19.25505433319777 
 01/01  01:04:00,,19.12919821175703 
 01/01  01:06:00,,19.229834806077819 
 01/01  01:08:00,,19.10150808785613 
 01/01  01:10:00,,19.20112907549481 
 01/01  01:12:00,,19.072027862063015 
 01/01  01:14:00,,19.171935126637857 
 01/01  01:16:00,,19.043010856181494 
 01/01  01:18:00,,19.143866032735308 
 01/01  01:20:00,,19.015581626906508 
 01/01  01:22:00,,19.11768647320312 
 01/01  01:24:00,,19.379632912500417 
 01/01  01:26:00,,19.276666220592863 
 01/01  01:28:00,,19.334812297645674 
 01/01  01:30:00,,19.15264773266097 
 01/01  01:32:00,,19.213935834150598 
 01/01  01:34:00,,19.059566986616376 
 01/01  01:36:00,,19.146904029099959 
 01/01  01:38:00,,19.009144554527987 
 01/01  01:40:00,,19.106865970840177 
 01/01  01:42:00,,19.367489931219195 
 01/01  01:44:00,,19.261765892116676 
 01/01  01:46:00,,19.319671867993084 
 01/01  01:48:00,,19.1364743214707 
 01/01  01:50:00,,19.19940200078076 
 01/01  01:52:00,,19.045578151930017 
 01/01  01:54:00,,19.13563082360711 
 01/01  01:56:00,,19.393053949648423 
 01/01  01:58:00,,19.28395841338088 
 01/01  02:00:00,4.671666666666667,19.340422552919475,557.9984366293234,0.016998266000000006,69.1209003125721,61.836074119060338,1133.3333333333333,57.77211982288595,66.8019144722147,0.016998266000000006,4080000.0000000006 
 01/01  02:02:00,,19.15525559186126 
 01/01  02:04:00,,19.21803066863985 
 01/01  02:06:00,,19.06338614046031 
 01/01  02:08:00,,19.15415814443556 
 01/01  02:10:00,,19.017433639923639 
 01/01  02:12:00,,19.119301537408167 
 01/01  02:14:00,,19.385811861715348 
 01/01  02:16:00,,19.28150572261257 
 01/01  02:18:00,,19.342758475967587 
 01/01  02:20:00,,19.16027628622299 
 01/01  02:22:00,,19.22679350547411 
 01/01  02:24:00,,19.07418962227904 
 01/01  02:26:00,,19.168067918523119 
 01/01  02:28:00,,19.032862841901854 
 01/01  02:30:00,,19.137376372490328 
 01/01  02:32:00,,19.00852675120646 
 01/01  02:34:00,,19.117910555548705 
 01/01  02:36:00,,19.39187472924416 
 01/01  02:38:00,,19.291507179659694 
 01/01  02:40:00,,19.357082105377747 
 01/01  02:42:00,,19.176740817022947 
 01/01  02:44:00,,19.246649845639078 
 01/01  02:46:00,,19.095704019700209 
 01/01  02:48:00,,19.192588153690865 
 01/01  02:50:00,,19.05872811161819 
 01/01  02:52:00,,19.165931092174107 
 01/01  02:54:00,,19.03817850008086 
 01/01  02:56:00,,19.150013486096289 
 01/01  02:58:00,,19.025617315149945 
 01/01  03:00:00,5.765000000000002,19.14045871192034,533.8372789768339,0.015998368000000007,69.92767942790319,62.96030853165659,1066.6666666666667,57.57070532798244,66.06949745649998,0.015998368000000007,3840000.0000000006 
 01/01  03:02:00,,19.0181930045004 
 01/01  03:04:00,,19.13489526623531 
 01/01  03:06:00,,19.013840408039206 
 01/01  03:08:00,,19.131724214411837 
 01/01  03:10:00,,19.01142930123221 
 01/01  03:12:00,,19.130173222219779 
 01/01  03:14:00,,19.01040771978851 
 01/01  03:16:00,,19.129825208700628 
 01/01  03:18:00,,19.010446464470076 
 01/01  03:20:00,,19.130417129821436 
 01/01  03:22:00,,19.011333568883527 
 01/01  03:24:00,,19.13177826668167 
 01/01  03:26:00,,19.01293000419708 
 01/01  03:28:00,,19.133794668314797 
 01/01  03:30:00,,19.01514077988295 
