 TIME                    	Tsypply_DH               	Qp_SH                    	Qp_EVA                   	Qp_ECO                   	Qth2TES                  	
  +0.0000000000000000E+00	  +2.5000000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000002E-01	  +0.0000000000000000E+00	  +1.0000000000000000E+06	
  +1.2500000000000000E-01	  +5.1215056094240722E+01	  +4.9872496866462253E+07	  +3.9634895439119861E+07	  +5.5800068530624337E+07	  +9.4600000000000000E+05	
  +2.5000000000000000E-01	  +5.2056586613505189E+01	  +5.0479474601049095E+07	  +3.9533203497038320E+07	  +5.6236494522290476E+07	  +8.5943328458007821E+05	
  +3.7500000000000000E-01	  +5.1987742949664387E+01	  +5.0356017771771550E+07	  +3.9539869927145950E+07	  +5.6174422960385241E+07	  +8.6712292984374997E+05	
  +5.0000000000000000E-01	  +5.1966720482443336E+01	  +5.0433685525249340E+07	  +3.9553887228939965E+07	  +5.6213696075978227E+07	  +8.7419740348632820E+05	
  +6.2500000000000000E-01	  +5.1968878809612754E+01	  +5.0361405719380900E+07	  +3.9540874915245064E+07	  +5.6176963862851106E+07	  +8.7850360483398440E+05	
  +7.5000000000000000E-01	  +5.1894606370567530E+01	  +5.0428867534313038E+07	  +3.9552984542029060E+07	  +5.6211234666642971E+07	  +8.8096429131835944E+05	
  +8.7500000000000000E-01	  +5.1881707814720016E+01	  +5.0365853324222326E+07	  +3.9541682112654999E+07	  +5.6179231004713282E+07	  +8.8250222037109372E+05	
  +1.0000000000000000E+00	  +5.1806999487340015E+01	  +5.0424715028325960E+07	  +3.9552239398429602E+07	  +5.6209125012530401E+07	  +8.8219463456054684E+05	
  +1.1250000000000000E+00	  +5.1790838445772330E+01	  +5.0369729179308295E+07	  +3.9542377815930866E+07	  +5.6181199871460013E+07	  +8.7588912544433598E+05	
  +1.2500000000000000E+00	  +5.1728040621511042E+01	  +5.0421102825624168E+07	  +3.9551590044740900E+07	  +5.6207286610071927E+07	  +8.6804568727539061E+05	
  +1.3750000000000000E+00	  +5.1719696313948418E+01	  +5.0421102825624168E+07	  +3.9542982997780226E+07	  +5.6182915528462812E+07	  +8.6404707173828129E+05	
  +1.5000000000000000E+00	  +5.1684777079413109E+01	  +5.0373107974828005E+07	  +3.9551023967504911E+07	  +5.6207187579026952E+07	  +8.7573533253906248E+05	
  +1.6250000000000000E+00	  +5.1617279486770286E+01	  +5.0417943066696711E+07	  +3.9543512378025211E+07	  +5.6183954776572295E+07	  +8.8404014942382812E+05	
  +1.7500000000000000E+00	  +5.1591613204433791E+01	  +5.0374763095190093E+07	  +3.9550746671659596E+07	  +5.6204928700540043E+07	  +8.8788497205566405E+05	
  +1.8750000000000000E+00	  +5.1520171004531406E+01	  +5.0416590562580392E+07	  +3.9543738974096917E+07	  +5.6185097660866462E+07	  +8.8650083590820315E+05	
  +2.0000000000000000E+00	  +5.1506479210973311E+01	  +5.0377311706407741E+07	  +3.9550319681986734E+07	  +5.6203592971590795E+07	  +8.5666501228515629E+05	
  +2.1250000000000000E+00	  +5.1474902599486562E+01	  +5.0413968294062003E+07	  +3.9544178304179542E+07	  +5.6186411201267622E+07	  +8.3574917716796882E+05	
  +2.2500000000000000E+00	  +5.1501961523681828E+01	  +5.0379843292298310E+07	  +3.9549895544706084E+07	  +5.6202374425401323E+07	  +8.2590643123046879E+05	
  +2.3750000000000000E+00	  +5.1498313759480951E+01	  +5.0411562663305633E+07	  +3.9544581339166842E+07	  +5.6187549986642994E+07	  +8.2036988664062507E+05	
  +2.5000000000000000E+00	  +5.1532070930217699E+01	  +5.0382096618873954E+07	  +3.9549518026483320E+07	  +5.6201314071915485E+07	  +8.1606368529296876E+05	
  +2.6250000000000000E+00	  +5.1532276283617520E+01	  +5.0409449842361987E+07	  +3.9544935317332402E+07	  +5.6188537711598322E+07	  +8.1421817042968748E+05	
  +2.7500000000000000E+00	  +5.1559737584671694E+01	  +5.0384052047430791E+07	  +3.9549190417551033E+07	  +5.6200398687972680E+07	  +8.1268024137695308E+05	
  +2.8750000000000000E+00	  +5.1556435234643274E+01	  +5.0407634263323843E+07	  +3.9545239496131524E+07	  +5.6189387371209569E+07	  +8.1175748394531244E+05	
  +3.0000000000000000E+00	  +5.1576436971311495E+01	  +5.0385747556013308E+07	  +3.9548906355136968E+07	  +5.6199608020450756E+07	  +8.1083472651367192E+05	
