 TIME                    	HPT_powerMW              	LPT_powerMW              	P1_powerMW               	P2_powerMW               	P3_powerMW               	Wnet_MW                  	Wgross_MW                	eta_net                  	eta_gross                	eta_CHP                  	m_fuel_h                 	
  +3.7500000000000000E+00	  +8.2722547980668217E+00	  +4.4167545604786156E+00	  +2.6305233263382168E-05	  +3.1117522150223877E-03	  +6.4214602349778743E-02	  +1.1359491028872636E+01	  +1.2689009358545437E+01	  +2.4771557220351451E-01	  +2.7670827909089729E-01	  +7.9507932873665177E-01	  +1.3635514283753708E+04	
  +3.8750000000000000E+00	  +8.3592849586552855E+00	  +4.4725190792809570E+00	  +2.8074891850005819E-05	  +3.1812945950276841E-03	  +6.5611100393857841E-02	  +1.1486685211249956E+01	  +1.2831804037936243E+01	  +2.4804099714492675E-01	  +2.7708720228711275E-01	  +7.9508077809098265E-01	  +1.3770103651060745E+04	
  +4.0000000000000000E+00	  +8.4356720280498809E+00	  +4.5209768327652720E+00	  +2.9741204262515738E-05	  +3.2431509673950323E-03	  +6.6849305661414393E-02	  +1.1597873996683871E+01	  +1.2956648860815150E+01	  +2.4832009909345809E-01	  +2.7741259561508380E-01	  +7.9516153464751860E-01	  +1.3887768598927385E+04	
  +4.1250000000000000E+00	  +8.5120624181052644E+00	  +4.5734780167461846E+00	  +2.9947467257554280E-05	  +3.3050726806370207E-03	  +6.8098080376717510E-02	  +1.1712696600894153E+01	  +1.3085540434851449E+01	  +2.4867327589659360E-01	  +2.7782024222871377E-01	  +7.9516917204752136E-01	  +1.4005342582414374E+04	
  +4.2500000000000000E+00	  +8.6017118783272597E+00	  +4.6386672139180591E+00	  +2.8915525693965301E-05	  +3.3769705290709142E-03	  +6.9568012782347741E-02	  +1.1850664674067387E+01	  +1.3240379092245320E+01	  +2.4916564175470327E-01	  +2.7838502264046944E-01	  +7.9502630664752039E-01	  +1.4142315185616351E+04	
  +4.3750000000000000E+00	  +8.7000112536015699E+00	  +4.7094455028081228E+00	  +2.8119267338361128E-05	  +3.4570979443187817E-03	  +7.1205291030223494E-02	  +1.2001289623351031E+01	  +1.3409456756409693E+01	  +2.4967370332742761E-01	  +2.7896908024514200E-01	  +7.9486768237009209E-01	  +1.4292923586166111E+04	
  +4.5000000000000000E+00	  +8.7929202510838245E+00	  +4.7763169471669213E+00	  +2.7277903990857051E-05	  +3.5335984854993965E-03	  +7.2768043567137120E-02	  +1.2143617450464710E+01	  +1.3569237198250748E+01	  +2.5015404819080067E-01	  +2.7952129008096566E-01	  +7.9475058575259117E-01	  +1.4434658064732763E+04	
  +4.6250000000000000E+00	  +8.8855646388578133E+00	  +4.8395588192528409E+00	  +2.7844994788718217E-05	  +3.6120149391968281E-03	  +7.4357370401414283E-02	  +1.2282413604997730E+01	  +1.3725123458110655E+01	  +2.5054110890739695E-01	  +2.7997002557272260E-01	  +7.9469017881438464E-01	  +1.4577084826659398E+04	
  +4.7500000000000000E+00	  +8.9608542530645678E+00	  +4.8869255733291670E+00	  +2.9493944614691697E-05	  +3.6762096031331222E-03	  +7.5654613283419991E-02	  +1.2391577558606309E+01	  +1.3847779826393733E+01	  +2.5079527597419288E-01	  +2.8026760489250274E-01	  +7.9475291823859018E-01	  +1.4691739053211108E+04	
  +4.8750000000000000E+00	  +9.0249219044263143E+00	  +4.9233144015745891E+00	  +3.1370688497537953E-05	  +3.7321006342904829E-03	  +7.6770577252860697E-02	  +1.2480932031682729E+01	  +1.3948236306000902E+01	  +2.5093332358322273E-01	  +2.8043396803252085E-01	  +7.9477484157704470E-01	  +1.4789539023986246E+04	
  +5.0000000000000000E+00	  +9.0897256432608522E+00	  +4.9690675882922628E+00	  +3.2448702529664385E-05	  +3.7887040400192422E-03	  +7.7910413959857011E-02	  +1.2579355498365638E+01	  +1.4058793231553114E+01	  +2.5122694603688583E-01	  +2.8077334240104873E-01	  +7.9490679927030650E-01	  +1.4888746309449922E+04	
  +5.1250000000000000E+00	  +9.1513731991812541E+00	  +5.0143152188909266E+00	  +3.2023330666695693E-05	  +3.8381500607396288E-03	  +7.8996457584729951E-02	  +1.2674539608386441E+01	  +1.4165688418072181E+01	  +2.5154414516739720E-01	  +2.8113809999646200E-01	  +7.9491259327881936E-01	  +1.4982487980069445E+04	
  +5.2500000000000000E+00	  +9.2405110214393655E+00	  +5.0840646547601693E+00	  +3.0256982793903754E-05	  +3.9181898598280038E-03	  +8.0575323026812432E-02	  +1.2816046715697089E+01	  +1.4324575676199533E+01	  +2.5207493699501221E-01	  +2.8174573572954398E-01	  +7.9469629414662313E-01	  +1.5117861866581879E+04	
  +5.3750000000000000E+00	  +9.3473013052606735E+00	  +5.1648115423130436E+00	  +2.8930395034485228E-05	  +4.0108039874659131E-03	  +8.2491330458106499E-02	  +1.2983023604459801E+01	  +1.4512112847573718E+01	  +2.5264951392920915E-01	  +2.8240557582949005E-01	  +7.9446626214628435E-01	  +1.5279999428768666E+04	
  +5.5000000000000000E+00	  +9.4481703404034221E+00	  +5.2401418123758177E+00	  +2.7575123559190809E-05	  +4.0991584070872262E-03	  +8.4317634497690724E-02	  +1.3139881006275813E+01	  +1.4688312152779240E+01	  +2.5317998802582037E-01	  +2.8301524901055108E-01	  +7.9426424256540995E-01	  +1.5432206132435445E+04	
  +5.6250000000000000E+00	  +9.5517832400334051E+00	  +5.3126219163542512E+00	  +2.8055304921811171E-05	  +4.1928143616768044E-03	  +8.6235225238924046E-02	  +1.3296554155333920E+01	  +1.4864405156387656E+01	  +2.5360419353624225E-01	  +2.8350769966739425E-01	  +7.9416257357604703E-01	  +1.5590090434584094E+04	
  +5.7500000000000000E+00	  +9.6264239014897122E+00	  +5.3597365753954529E+00	  +2.9768474823020573E-05	  +4.2615841430568005E-03	  +8.7615883958760285E-02	  +1.3404827916277672E+01	  +1.4986160476885164E+01	  +2.5384743206932364E-01	  +2.8379315104945124E-01	  +7.9432412278692710E-01	  +1.5701980260467517E+04	
