 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +3.0000000000000000E+00	  +4.2431913612419041E+04	  +4.2437280471815437E+04	  +4.8810367868272449E+04	  +4.8820827652794134E+04	  +6.6363715465885420E+01	  +1.0492230210954648E+02	  +1.3493056514491246E+02	  +1.8113423484404603E+02	
  +3.1250000000000000E+00	  +4.3097517570551121E+04	  +4.3109330836442517E+04	  +4.9612982676401865E+04	  +4.9611263230620316E+04	  +6.6916545714445817E+01	  +1.0536324829449092E+02	  +1.3544924532846707E+02	  +1.8175065503245753E+02	
  +3.2500000000000000E+00	  +4.3532485793810920E+04	  +4.3529728098372172E+04	  +5.0094036869736105E+04	  +5.0079465155528320E+04	  +6.7491871661513628E+01	  +1.0568132264347072E+02	  +1.3574634478542879E+02	  +1.8206015170751760E+02	
  +3.3750000000000000E+00	  +4.3767754918918741E+04	  +4.3773498446646227E+04	  +5.0384969669985650E+04	  +5.0424501574389360E+04	  +6.8113879340751538E+01	  +1.0589675374378537E+02	  +1.3595320825470409E+02	  +1.8231670613535201E+02	
  +3.5000000000000000E+00	  +4.4114547065993240E+04	  +4.4081401902695507E+04	  +5.0744237183480538E+04	  +5.0799183369630860E+04	  +6.8734964021714546E+01	  +1.0617764832833272E+02	  +1.3621263367395710E+02	  +1.8258538105970729E+02	
  +3.6250000000000000E+00	  +4.4351745555861584E+04	  +4.4330702360090640E+04	  +5.1035950198718492E+04	  +5.1069194827769563E+04	  +6.9070532639193303E+01	  +1.0634948986696229E+02	  +1.3639521104575601E+02	  +1.8278671590887168E+02	
  +3.7500000000000000E+00	  +4.4739760613728322E+04	  +4.4743533479491161E+04	  +5.1518454450631616E+04	  +5.1524650338343781E+04	  +6.9197473476433586E+01	  +1.0660489118001533E+02	  +1.3667389146786456E+02	  +1.8310613295401814E+02	
  +3.8750000000000000E+00	  +4.5197282873791322E+04	  +4.5201334205529944E+04	  +5.2059279872230371E+04	  +5.2066469842369239E+04	  +6.9383769875370049E+01	  +1.0690328549991429E+02	  +1.3701219277731332E+02	  +1.8348842252629072E+02	
  +4.0000000000000000E+00	  +4.5598452140747766E+04	  +4.5601961996683094E+04	  +5.2533854048634923E+04	  +5.2541680716084171E+04	  +6.9557486156839047E+01	  +1.0716407728019794E+02	  +1.3731155562613250E+02	  +1.8383176797986673E+02	
  +4.1250000000000000E+00	  +4.6000375780744012E+04	  +4.6004056800698832E+04	  +5.3010975243727400E+04	  +5.3016534190536477E+04	  +6.9569275375221622E+01	  +1.0740420884425748E+02	  +1.3760535116105001E+02	  +1.8416953013513822E+02	
  +4.2500000000000000E+00	  +4.6464990391640065E+04	  +4.6468093580755034E+04	  +5.3564520948370657E+04	  +5.3569905713884044E+04	  +6.9442703715940738E+01	  +1.0766548841549937E+02	  +1.3794190157135552E+02	  +1.8455826505716811E+02	
  +4.3750000000000000E+00	  +4.6974651172709215E+04	  +4.6977942327480465E+04	  +5.4172310811529293E+04	  +5.4179234708074786E+04	  +6.9340279830738723E+01	  +1.0795624752290638E+02	  +1.3831378033182065E+02	  +1.8498602482045868E+02	
  +4.5000000000000000E+00	  +4.7454895658010442E+04	  +4.7458361110833139E+04	  +5.4746340564301383E+04	  +5.4754005725939904E+04	  +6.9234096984915624E+01	  +1.0822695511779534E+02	  +1.3866541288188191E+02	  +1.8539329595178398E+02	
  +4.6250000000000000E+00	  +4.7938803080167709E+04	  +4.7943620372806974E+04	  +5.5323252163750054E+04	  +5.5332129413520626E+04	  +6.9285480333806788E+01	  +1.0852063564689395E+02	  +1.3902312143188288E+02	  +1.8580064942218803E+02	
  +4.7500000000000000E+00	  +4.8329786956165699E+04	  +4.8332017998556490E+04	  +5.5786451820311464E+04	  +5.5799068979424323E+04	  +6.9459022927430908E+01	  +1.0877060711538377E+02	  +1.3931625921585851E+02	  +1.8613697082348310E+02	
  +4.8750000000000000E+00	  +4.8661909446689919E+04	  +4.8670312477173829E+04	  +5.6187886033346345E+04	  +5.6197536197125482E+04	  +6.9674610470257221E+01	  +1.0899253478194949E+02	  +1.3956758225811598E+02	  +1.8642151460887825E+02	
  +5.0000000000000000E+00	  +4.9006819037749396E+04	  +4.9010168716672939E+04	  +5.6591794011914244E+04	  +5.6601585301929459E+04	  +6.9759242702093843E+01	  +1.0920887732635043E+02	  +1.3982033181524639E+02	  +1.8670561344084084E+02	
  +5.1250000000000000E+00	  +4.9324861536943965E+04	  +4.9282263438121816E+04	  +5.6923682066898582E+04	  +5.6983748667170526E+04	  +6.9702155384105140E+01	  +1.0939000071000427E+02	  +1.4005414939872040E+02	  +1.8697375666925851E+02	
  +5.2500000000000000E+00	  +4.9788472218784453E+04	  +4.9791224540043244E+04	  +5.7526961823575562E+04	  +5.7534834204321378E+04	  +6.9490755559829736E+01	  +1.0963483551162848E+02	  +1.4038323700396128E+02	  +1.8734969897805470E+02	
