Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/26  18:00:00;-11.92;18.71446992;1105.366851;0.0499949;55;46.54203272;1777.724999;46.49387905;55;0.0499949;6399809.996
 01/26  19:00:00;-12.57333333;18.51996247;1111.461828;0.0499949;55;46.49619291;1769.455995;46.53346092;55;0.0499949;6370041.583
 01/26  20:00:00;-13.27333333;18.34379549;1117.016958;0.0499949;55;46.45517446;1768.936079;46.53594964;55;0.0499949;6368169.886
 01/26  21:00:00;-13.97333333;18.14894525;1123.000392;0.0499949;55;46.40977625;1772.753336;46.51767732;55;0.0499949;6381912.008
 01/26  22:00:00;-14.67333333;17.97032321;1128.531896;0.0499949;55;46.36784027;1778.977593;46.48788317;55;0.0499949;6404319.335
 01/26  23:00:00;-15.32;17.80780125;1133.562244;0.0499949;55;46.32972569;1786.140835;46.45359421;55;0.0499949;6430107.004
 01/26  24:00:00;-15.97333333;17.65412169;1138.290315;0.0499949;55;46.29382911;1793.530977;46.418219;55;0.0499949;6456711.519
 01/27  01:00:00;-16.67333333;17.50124109;1142.961365;0.0499949;55;46.25820234;1800.947344;46.38271815;55;0.0499949;6483410.437
 01/27  02:00:00;-17;17.3680832;1147.103499;0.0499949;55;46.22629118;1808.281177;46.34761224;55;0.0499949;6509812.238
 01/27  03:00:00;-17;17.31964908;1148.853839;0.0499949;55;46.2135949;1814.388293;46.31837836;55;0.0499949;6531797.854
 01/27  04:00:00;-17;17.34068454;1148.361804;0.0499949;55;46.21774589;1817.987128;46.30115121;55;0.0499949;6544753.659
 01/27  05:00:00;-16.94666667;17.33718116;1148.291832;0.0499949;55;46.2181526;1819.52674;46.29378129;55;0.0499949;6550296.262
 01/27  06:00:00;-16.79333333;17.32216204;1148.632841;0.0499949;55;46.21401105;1820.799133;46.2876905;55;0.0499949;6554876.88
 01/27  07:00:00;-16.64666667;17.34515209;1147.986529;0.0499949;55;46.21879201;1821.430148;46.2846699;55;0.0499949;6557148.534
 01/27  08:00:00;-16.17333333;17.40661185;1146.270399;0.0499949;55;46.23229462;1820.866096;46.28736995;55;0.0499949;6555117.945
 01/27  09:00:00;-15.37333333;17.56090239;1141.98401;0.0499949;55;46.26615937;1818.383857;46.29925212;55;0.0499949;6546181.884
 01/27  10:00:00;-14.57333333;17.9232042;1131.482567;0.0499949;55;46.34662847;1811.638877;46.33153942;55;0.0499949;6521899.956
 01/27  11:00:00;-13.61333333;18.49896455;1114.104933;0.0499949;55;46.47909396;1797.432289;46.39954409;55;0.0499949;6470756.239
 01/27  12:00:00;-12.56666667;18.9826699;1058.748166;0.04761884;55;46.49149765;1695.508315;46.48302457;55;0.04761884;6103829.934
 01/27  13:00:00;-11.51333333;19.02467339;958.2289041;0.041948846;55;46.25283769;1497.685038;46.45873458;55;0.041948846;5391666.137
 01/27  14:00:00;-10.84;19.02394904;937.8950278;0.040832423;55;46.20318671;1470.407466;46.38575356;55;0.040832423;5293466.879
 01/27  15:00:00;-10.59333333;19.02588789;998.6332933;0.044220749;55;46.35399467;1595.488457;46.36873447;55;0.044220749;5743758.446
 01/27  16:00:00;-10.34;19.02783991;1068.916476;0.048321894;55;46.53730593;1729.940443;46.43532336;55;0.048321894;6227785.596
 01/27  17:00:00;-9.986666667;18.98078582;1097.328599;0.0499949;55;46.60189583;1769.647822;46.53254267;55;0.0499949;6370732.161
 01/27  18:00:00;-9.586666667;18.95220962;1098.337595;0.0499949;55;46.59414121;1757.490219;46.59073812;55;0.0499949;6326964.788
 01/27  19:00:00;-9.186666667;19.0086844;1095.152887;0.049884234;55;46.60126626;1746.734282;46.62369604;55;0.049884234;6288243.415
 01/27  20:00:00;-8.466666667;19.02828886;1069.732697;0.048360952;55;46.53917941;1691.917569;46.63093355;55;0.048360952;6090903.248
 01/27  21:00:00;-7.52;19.02713228;1032.115881;0.046128107;55;46.43932222;1620.365613;46.59670886;55;0.046128107;5833316.205
 01/27  22:00:00;-6.566666667;19.02585144;989.7535865;0.043693459;55;46.33053323;1546.295699;46.53387319;55;0.043693459;5566664.515
 01/27  23:00:00;-5.886666667;19.02479535;956.4005947;0.04183167;55;46.24757404;1493.512792;46.45903576;55;0.04183167;5376646.05
 01/27  24:00:00;-5.54;19.02436402;937.8346547;0.040816149;55;46.20256024;1468.769105;46.39162841;55;0.040816149;5287568.779
